rank,e15,e16,e17,e18,e19,e20,f64,agreement_residual,universe,intersection,denominator,local_cap,pattern_count,label_sets,cell_cap,selected
537,31,12,5,2,0,0,26,100239,229376,32767,2531893729,6,628693401600,4272048,16114850333510860800,0
538,30,12,5,2,1,0,26,133007,262144,65535,511255009,34,26195558400,18156204,16170804674946662400,0
539,31,12,5,1,0,0,27,100239,196608,32767,3605602785,3,4889837568000,1107568,16247482846543872000,0
540,29,10,5,2,0,0,27,165775,262144,98303,1711808993,10,73347563520,23535820,17262950524452864000,0
541,31,12,5,2,1,0,25,100239,262144,32767,1458184673,12,104782233600,13884156,17457754527970099200,0
542,31,9,4,2,0,0,27,100239,196608,32767,3605602785,3,5398380675072,1107568,17937221062584434688,0
543,31,14,4,2,0,0,24,100239,294912,32767,384475617,51,9264955392,38567100,18223445516038963200,0
544,30,10,4,2,1,0,27,133007,229376,65535,2658705889,5,699246772224,5379616,18808395619022929920,0
545,31,14,2,0,0,0,26,100239,229376,32767,2531893729,6,749431947264,4272048,19209655508671660032,0
546,29,8,4,2,1,0,27,165775,262144,98303,1711808993,10,81793646592,23535820,19250805433329254400,0
547,31,14,5,2,0,0,24,100239,294912,32767,384475617,51,9926737920,38567100,19525120195756032000,0
548,30,10,5,2,1,0,26,133007,262144,65535,511255009,34,31783944192,18156204,19620576338935283712,0
549,31,11,5,0,0,0,27,100239,196608,32767,3605602785,3,5933002915840,1107568,19713612520473231360,0
550,32,7,2,0,0,0,1,67471,1015808,-1,4553351649,15,41098260198195200,32,19727164895133696000,0
551,30,8,4,2,0,0,27,133007,229376,65535,2658705889,5,771197239296,5379616,20743725038362951680,0
552,31,13,4,1,0,0,27,100239,196608,32767,3605602785,3,6337229488128,1107568,21056737769120858112,0
553,31,13,6,2,0,0,24,100239,294912,32767,384475617,51,10716364800,38567100,21078254756782080000,0
554,31,11,4,2,0,0,27,100239,196608,32767,3605602785,3,6356788838400,1107568,21121727700507033600,0
555,31,4,2,1,0,0,27,100239,196608,32767,3605602785,3,6595459153920,1107568,21914758512566599680,0
556,29,11,5,2,0,0,27,165775,262144,98303,1711808993,10,94304010240,23535820,22195222102867968000,0
557,29,12,4,2,0,0,27,165775,262144,98303,1711808993,10,94304010240,23535820,22195222102867968000,0
558,31,13,5,0,0,0,26,100239,229376,32767,2531893729,6,880170762240,4272048,22560790466915205120,0
559,32,5,0,0,0,0,1,67471,1015808,-1,4553351649,15,47329014888529920,32,22717927146494361600,0
560,31,9,4,2,1,0,26,100239,229376,32767,2531893729,6,899730112512,4272048,23062141366179987456,0
561,30,13,4,2,0,0,26,133007,262144,65535,511255009,34,37721604096,18156204,23285958731923193856,0
562,31,13,5,2,0,0,25,100239,262144,32767,1458184673,12,141456015360,13884156,23567968612759633920,0
563,31,11,5,2,0,0,26,100239,229376,32767,2531893729,6,953518325760,4272048,24440856339158138880,0
564,31,11,5,1,0,0,27,100239,196608,32767,3605602785,3,7416253644800,1107568,24642015650591539200,0
565,29,11,4,2,1,0,27,165775,262144,98303,1711808993,10,104782233600,23535820,24661357892075520000,0
566,31,14,3,0,0,0,26,100239,229376,32767,2531893729,6,963555360768,4272048,24698128511149277184,0
567,30,14,4,0,0,0,26,133007,262144,65535,511255009,34,40534179840,18156204,25022192497022730240,0
568,31,14,0,0,0,0,24,100239,294912,32767,384475617,51,12834570240,38567100,25244599849058304000,0
569,31,13,6,0,0,0,24,100239,294912,32767,384475617,51,13335920640,38567100,26230717030662144000,0
570,30,12,5,0,0,0,27,133007,229376,65535,2658705889,5,977967513600,5379616,26305448418213888000,0
571,31,8,4,2,0,0,26,100239,229376,32767,2531893729,6,1028262985728,4272048,26356732989919985664,0
572,31,11,5,2,1,0,25,100239,262144,32767,1458184673,12,158919720960,13884156,26477594367421317120,0
573,31,1,0,0,0,0,27,100239,196608,32767,3605602785,3,7988639170560,1107568,26543883326576394240,0
