e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
32,3,0,0,0,0,1098566734970880,0,17,1,,,,0
8,4,0,0,0,0,29120,0,,0,7648690560643840,222729869125948620800,811,0
9,4,0,0,0,0,1630720,0,,0,3824345280321920,6236436335526561382400,1040,0
10,4,0,0,0,0,44029440,0,,0,1877405865074408,82661128891941742571520,1219,0
11,4,0,0,0,0,763176960,0,,0,903936157450652,689863248677269943377920,1347,0
12,4,0,0,0,0,9539712000,0,,0,426384980070844,4067589911001591356928000,1427,0
13,4,0,0,0,0,91581235200,0,,0,196793067813010,18022552229112818429952000,1487,0
14,4,0,0,0,0,702122803200,0,,0,88749814944830,62313268852545292947456000,1530,0
15,4,0,0,0,0,4413343334400,0,,0,39049918600144,172340697962808101280153600,1568,0
16,4,0,0,0,0,23170052505600,0,,0,16735679411136,387766570672910009342361600,1595,0
17,4,0,0,0,0,102978011136000,0,,0,6973199759162,718086242452536954028032000,1611,0
18,4,0,0,0,0,391316442316800,0,,0,2818953095770,1103102696494645991079936000,1618,0
19,4,0,0,0,0,1280671993036800,0,,0,1103068603210,1412669066529269822128128000,1623,0
20,4,0,0,0,0,3628570646937600,0,,0,416714805794,1512079112448410924836454400,1624,0
21,4,0,0,0,0,8931866207846400,0,,0,151532656681,1353469415594213919581798400,1622,0
22,4,0,0,0,0,19139713302528000,0,,0,52860229079,1011729629678013709811712000,1615,0
23,4,0,0,0,0,35727464831385600,0,,0,17620076360,629520658478228796604416000,1607,0
24,4,0,0,0,0,58057130351001600,0,,0,5586853480,324356680740306910445568000,1589,0
25,4,0,0,0,0,81963007554355200,0,,0,1676056044,137374594195894691482828800,1559,0
26,4,0,0,0,0,100177009233100800,0,,0,472733756,47357053839610420710604800,1520,0
27,4,0,0,0,0,105449483403264000,0,,0,124403620,13118297462495961415680000,1475,0
28,4,0,0,0,0,94904535062937600,0,,0,30260340,2871843498546413174784000,1406,0
29,4,0,0,0,0,72308217190809600,0,,0,6724520,486238052663942971392000,1331,0
30,4,0,0,0,0,46014320030515200,0,,0,1344904,61884843066320014540800,1206,0
31,4,0,0,0,0,24007471320268800,0,,0,237336,5697837213267315916800,1034,0
32,4,0,0,0,0,10003113050112000,0,36,1,,,,0
10,5,0,0,0,0,139776,0,,0,1877405854673808,262416280742886187008,822,0
11,5,0,0,0,0,7547904,0,,0,903936152250352,6822823299315040862208,1047,0
12,5,0,0,0,0,196245504,0,,0,426384977574700,83676134822175699148800,1220,0
13,5,0,0,0,0,3270758400,0,,0,196793066668944,643662575869208607129600,1340,0
14,5,0,0,0,0,39249100800,0,,0,88749814447410,3483350413227691388928000,1419,0
15,5,0,0,0,0,361091727360,0,,0,39049918396654,14100602487114834504253440,1477,0
16,5,0,0,0,0,2648006000640,0,,0,16735679333616,44316179300202004469514240,1517,0
17,5,0,0,0,0,15888036003840,0,,0,6973199732030,110790448404460080050995200,1551,0
18,5,0,0,0,0,79440180019200,0,,0,2818953087202,223938140713006475634278400,1574,0
19,5,0,0,0,0,335414093414400,0,,0,1103068600830,369984754721285125373952000,1594,0
20,5,0,0,0,0,1207490736291840,0,,0,416714805234,503179266995713360983490560,1599,0
21,5,0,0,0,0,3732244093992960,0,,0,151532656576,565556862552839472241704960,1604,0
22,5,0,0,0,0,9952650917314560,0,,0,52860229065,526099407293230016259686400,1601,0
23,5,0,0,0,0,22967655963033600,0,,0,17620076359,404691851855893713282662400,1597,0
24,5,0,0,0,0,45935311926067200,0,,0,5586853480,256633857289034039033856000,1583,0
25,5,0,0,0,0,79621207338516480,0,,0,1676056044,133449605790297700297605120,1558,0
26,5,0,0,0,0,119431811007774720,0,,0,472733756,56459448603587488587448320,1526,0
27,5,0,0,0,0,154558814245355520,0,,0,124403620,19227675995029794874982400,1491,0
28,5,0,0,0,0,171732015828172800,0,,0,30260340,5196669187845890506752000,1437,0
29,5,0,0,0,0,162693488679321600,0,,0,6724520,1094035618493871685632000,1370,0
30,5,0,0,0,0,130154790943457280,0,,0,1344904,175045698959019469701120,1263,0
31,5,0,0,0,0,86769860628971520,0,,0,237336,20593611642237584670720,1121,0
32,5,0,0,0,0,47329014888529920,0,44,0,35960,1701951375391535923200,950,0
12,6,0,0,0,0,512512,0,,0,426384972374400,218527414961548492800,810,0
13,6,0,0,0,0,26650624,0,,0,196793064172800,5244657959077163827200,1027,0
14,6,0,0,0,0,666265600,0,,0,88749813303344,59130947610440472166400,1201,0
15,6,0,0,0,0,10660249600,0,,0,39049917899234,416281871665342088806400,1319,0
16,6,0,0,0,0,122592870400,0,,0,16735679130126,2051674942655521453670400,1394,0
17,6,0,0,0,0,1078817259520,0,,0,6973199654510,7522808141364289008435200,1455,0
18,6,0,0,0,0,7551720816640,0,,0,2818953060070,21287946504861647375564800,1493,0
19,6,0,0,0,0,43152690380800,0,,0,1103068592262,47600377430667004713369600,1521,0
20,6,0,0,0,0,204975279308800,0,,0,416714802854,85416233107110177387315200,1539,0
21,6,0,0,0,0,819901117235200,0,,0,151532656016,124241793965135650566963200,1557,0
22,6,0,0,0,0,2787663798599680,0,,0,52860228960,147356546657482412182732800,1562,0
23,6,0,0,0,0,8109567414108160,0,,0,17620076345,142891196961510009287475200,1560,0
24,6,0,0,0,0,20273918535270400,0,,0,5586853479,113267412301738018445721600,1554,0
25,6,0,0,0,0,43666901460582400,0,,0,1676056044,73188174115761559280025600,1533,0
26,6,0,0,0,0,81095674141081600,0,,0,472733756,38336662632065578670489600,1512,0
27,6,0,0,0,0,129753078625730560,0,,0,124403620,16141752687185506808627200,1486,0
28,6,0,0,0,0,178410483110379520,0,,0,30260340,5398761878484341804236800,1440,0
29,6,0,0,0,0,209894686012211200,0,,0,6724520,1411441013982834458624000,1380,0
30,6,0,0,0,0,209894686012211200,0,,0,1344904,282288202796566891724800,1298,0
31,6,0,0,0,0,176753419799756800,0,,0,237336,41949949641595079884800,1169,0
32,6,0,0,0,0,123727393859829760,0,51,0,35960,4449237083199478169600,1014,0
14,7,0,0,0,0,1464320,0,,0,88749810807200,129958122961199104000,778,0
15,7,0,0,0,0,73216000,0,,0,39049916755168,2859078705146380288000,984,0
16,7,0,0,0,0,1757184000,0,,0,16735678632706,29407666722532859904000,1144,0
